K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
428	2	15237862	0.014	1.277	0.044	0.614	513	507.67
429	2	15238375	0.014	1.276	0.041	0.605	513	507.67
430	2	15238888	0.014	1.665	0.051	0.805	513	507.67
431	2	15239401	0.016	1.48	0.061	0.706	513	507.67
432	2	15239914	0.017	1.473	0.057	0.694	513	507.67
433	2	15240427	0.017	1.472	0.055	0.707	513	507.67
434	2	15240940	0.017	1.475	0.065	0.697	513	507.67
435	2	15241453	0.016	1.787	0.08	0.824	513	507.67
436	2	15241966	0.017	1.492	0.059	0.709	513	507.67
437	2	15242479	0.016	1.483	0.061	0.695	513	507.67
438	2	15242992	0.016	1.474	0.049	0.708	513	507.67
439	2	15243505	0.016	1.472	0.053	0.714	513	507.67
440	2	15244018	0.016	1.778	0.062	0.819	513	507.67
441	2	15244531	0.016	1.558	0.068	0.755	513	507.67
442	2	15245044	0.016	1.458	0.049	0.691	513	507.67
443	2	15245557	0.016	1.509	0.065	0.709	513	507.67
444	2	15246070	0.016	1.479	0.05	0.702	513	507.67
445	2	15246583	0.016	1.701	0.071	0.791	513	507.67
446	2	15247096	0.018	1.6	0.065	0.767	513	507.67
447	2	15247609	0.02	1.431	0.06	0.684	513	507.67
448	2	15248122	0.014	1.269	0.046	0.59	513	507.67
449	2	15248635	0.017	1.708	0.052	0.788	513	507.67
450	2	15249148	0.028	1.44	0.061	0.674	513	507.67
451	2	15249661	0.017	1.354	0.043	0.646	513	507.67
452	2	15250174	0.024	1.372	0.045	0.668	513	507.67
453	2	15250687	0.014	1.238	0.04	0.597	513	507.67
