K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
59	2	38770	0.029	23.272	0.066	22.639	677	676.00
60	2	39321	0.037	1.608	0.063	0.936	551	624.67
61	2	39869	0.027	21.46	0.061	20.842	548	678.00
62	2	40706	0.037	11.387	0.073	10.783	837	651.33
63	2	41332	0.035	7.894	0.061	7.292	626	698.33
64	2	41839	0.023	6.259	0.053	5.654	507	625.67
65	2	42412	0.034	5.215	0.056	4.591	573	523.00
66	2	42957	0.024	4.626	0.054	4.006	545	515.00
67	2	43633	0.026	21.486	0.059	20.882	676	626.67
68	2	44413	0.036	6.275	0.055	5.669	780	797.33
69	2	45000	0.024	7.945	0.05	7.335	587	616.67
70	2	45528	0.034	3.173	0.06	2.548	528	608.33
71	2	46151	0.024	22.056	0.063	21.413	623	537.00
72	2	46648	0.048	2.858	0.055	2.264	497	532.33
73	2	47114	0.023	21.58	0.056	20.956	466	553.67
74	2	47721	0.048	11.382	0.055	10.762	607	614.67
75	2	48315	0.047	1.398	0.054	0.799	594	575.00
76	2	48995	0.025	6.257	0.064	5.643	680	667.67
77	2	49519	0.024	21.655	0.071	21.023	524	572.67
78	2	50236	0.034	4.522	0.064	3.911	717	671.33
79	2	51162	0.027	21.508	0.059	20.891	926	721.33
80	2	51768	0.035	2.139	0.058	1.527	606	579.67
81	2	52517	0.025	7.995	0.062	7.377	749	671.00
82	2	53176	0.035	11.32	0.061	10.717	659	698.00
83	2	53783	0.048	21.551	0.054	20.946	607	617.33
84	2	54394	0.035	2.886	0.064	2.254	611	611.00
85	2	55142	0.025	5.221	0.061	4.624	748	624.00
86	2	56045	0.027	11.49	0.056	10.88	903	740.00
87	2	56605	0.035	8.015	0.055	7.404	560	587.33
88	2	57336	0.026	6.313	0.073	5.664	731	556.33
89	2	58063	0.048	21.569	0.055	20.953	727	664.33
90	2	58745	0.036	1.804	0.066	1.196	682	641.67
91	2	59619	0.027	22.205	0.062	21.578	874	688.00
92	2	60118	0.033	6.257	0.071	5.648	499	527.00
93	2	60804	0.026	8.084	0.058	7.475	686	683.67
94	2	61470	0.049	11.395	0.06	10.79	666	601.00
95	2	62006	0.034	5.223	0.057	4.615	536	581.33
96	2	62927	0.027	2.84	0.062	2.208	921	725.33
97	2	63710	0.026	21.776	0.062	21.145	783	615.67
98	2	64375	0.035	11.357	0.07	10.72	665	648.67
99	2	64873	0.048	7.993	0.053	7.388	498	578.67
100	2	65448	0.024	1.331	0.065	0.719	575	544.67
101	2	66115	0.025	21.724	0.052	21.105	667	837.33
102	2	66619	0.037	4.898	0.063	4.241	504	649.00
103	2	67190	0.025	21.751	0.059	21.144	571	640.33
104	2	67966	0.036	6.254	0.06	5.649	776	607.33
105	2	68745	0.026	2.525	0.061	1.919	779	689.33
106	2	69290	0.023	11.434	0.075	10.816	545	553.33
107	2	69959	0.035	21.614	0.056	21.005	669	604.00
108	2	70781	0.049	2.863	0.06	2.28	822	633.67
109	2	71360	0.024	21.535	0.059	20.913	579	649.33
110	2	72033	0.035	3.178	0.06	2.585	673	624.33
111	2	72586	0.024	7.966	0.048	7.361	553	645.67
112	2	73200	0.048	6.223	0.054	5.614	614	632.67
113	2	73764	0.024	21.607	0.065	21.003	564	612.00
114	2	74507	0.05	4.576	0.056	3.956	743	626.67
115	2	75051	0.024	6.21	0.068	5.518	544	599.33
116	2	75723	0.028	6.565	0.048	5.937	672	631.67
117	2	76410	0.025	8.071	0.065	7.453	687	603.67
118	2	77195	0.05	11.382	0.066	10.775	785	699.67
119	2	77936	0.036	21.496	0.068	20.869	741	726.67
120	2	78566	0.045	1.466	0.062	0.857	630	659.00
121	2	79090	0.024	22.15	0.055	21.531	524	564.67
122	2	79678	0.035	11.446	0.066	10.831	588	682.00
123	2	80274	0.035	7.962	0.065	7.345	596	543.00
124	2	81015	0.026	6.284	0.07	5.661	741	611.33
125	2	81680	0.049	1.291	0.058	0.659	665	603.67
126	2	82222	0.024	4.591	0.058	3.966	542	622.33
127	2	82784	0.024	22.179	0.061	21.561	562	653.00
128	2	83396	0.035	6.271	0.06	5.666	612	621.33
129	2	84075	0.025	8.018	0.057	7.401	679	765.00
130	2	84654	0.048	3.205	0.057	2.589	579	655.00
131	2	85240	0.024	21.815	0.071	21.205	586	630.00
132	2	85828	0.035	2.846	0.06	2.242	588	566.67
133	2	86466	0.025	22.692	0.061	22.072	638	612.33
134	2	87141	0.038	12.566	0.071	11.888	675	719.67
135	2	87751	0.038	2.776	0.065	2.107	610	658.33
136	2	88467	0.028	6.993	0.075	6.304	716	693.67
137	2	89007	0.024	21.683	0.053	21.066	540	561.33
138	2	89661	0.035	4.562	0.061	3.96	654	629.67
139	2	90267	0.025	21.625	0.058	21.029	606	580.67
140	2	90898	0.034	2.144	0.063	1.53	631	612.33
141	2	91533	0.026	8.286	0.062	7.658	635	732.67
142	2	92067	0.047	11.433	0.065	10.828	534	558.33
143	2	92723	0.035	22.118	0.066	21.5	656	634.67
144	2	93355	0.048	3.14	0.061	2.482	632	633.67
145	2	93943	0.027	5.602	0.071	4.963	588	709.33
146	2	94499	0.024	11.97	0.066	11.347	556	582.00
147	2	95126	0.035	8.213	0.062	7.591	627	550.33
148	2	95721	0.025	6.501	0.087	5.869	595	577.33
149	2	96357	0.049	21.643	0.062	21.022	636	653.33
150	2	96967	0.035	1.264	0.054	0.666	610	560.67
151	2	97606	0.025	21.58	0.069	20.967	639	682.00
152	2	98335	0.049	6.236	0.068	5.633	729	624.00
153	2	98938	0.025	8.013	0.068	7.394	603	587.67
154	2	99551	0.05	11.404	0.06	10.806	613	641.33
155	2	100049	0.034	5.248	0.048	4.649	498	540.00
156	2	100734	0.025	2.845	0.066	2.226	685	663.00
157	2	101278	0.024	22.327	0.053	21.695	544	598.33
158	2	102085	0.036	11.461	0.059	10.834	807	618.00
159	2	102664	0.036	8.037	0.064	7.401	579	614.00
160	2	103215	0.024	2.177	0.059	1.556	551	586.00
161	2	103811	0.05	21.646	0.068	21.031	596	632.67
162	2	104586	0.026	4.636	0.069	4.024	775	767.67
